ID	Name	Start	End	Chromosome
NA	AL592464.2	2728414	2729257	1
NA	AL592464.1	2730996	2731563	1
NA	AL589702.1	2877222	2885272	1
NA	ACTRT2	2938046	2939467	1
NA	LINC00982	2976178	2985001	1
NA	PRDM16	2985731	3355185	1
NA	AL008733.1	3049490	3050273	1
NA	AL512383.1	3122551	3125228	1
NA	AL590438.1	3223199	3226660	1
NA	ARHGEF16	3370989	3397677	1
NA	AL512413.1	3403809	3404191	1
NA	MEGF6	3406483	3528059	1
NA	MIR551A	3477258	3477354	1
NA	AL513320.1	3539753	3541307	1
NA	TPRG1L	3541565	3546691	1
NA	WRAP73	3547330	3569325	1
NA	TP73	3569083	3652765	1
NA	AL136528.1	3575501	3585336	1
NA	AL136528.2	3628763	3630862	1
NA	TP73-AS1	3652164	3663900	1
NA	CCDC27	3663023	3688209	1
NA	SMIM1	3689351	3692546	1
NA	LRRC47	3695121	3713068	1
NA	RN7SL574P	3699378	3699673	1
NA	AL365330.1	3701571	3702102	1
NA	CEP104	3728644	3773778	1
NA	DFFB	3773830	3801993	1
NA	AL691523.1	3800627	3800697	1
NA	C1orf174	3805688	3816857	1
NA	LINC01134	3816935	3833789	1
NA	LINC01346	4000624	4015322	1
NA	LINC01345	4004606	4009040	1
NA	AL805961.1	4036192	4072759	1
NA	AL805961.2	4072980	4079568	1
NA	EEF1DP6	4235587	4235959	1
NA	LINC01777	4472086	4484749	1
NA	AL355602.1	4539190	4544435	1
NA	Z98747.1	4611794	4612205	1
NA	LINC01646	4631540	4654069	1
NA	AJAP1	4714791	4852594	1
NA	BX005132.2	5024013	5033358	1
NA	BX005132.1	5033440	5041628	1
NA	AL691497.1	5146518	5150959	1
NA	AL139823.1	5361987	5367454	1
NA	Z98259.3	5538795	5553117	1
NA	Z98259.2	5540846	5542088	1
NA	Z98259.1	5553037	5554734	1
NA	Z97988.1	5614806	5614941	1
NA	AL365255.1	5621768	5728355	1
NA	MIR4417	5624130	5624203	1
NA	AL356693.1	5875930	5876019	1
NA	MIR4689	5922731	5922801	1
NA	NPHP4	5922870	6052533	1
NA	AL356261.1	5953898	5953984	1
NA	KCNAB2	6051525	6161253	1
NA	AL035406.1	6100629	6101399	1
NA	CHD5	6161852	6240183	1
NA	RPL22	6241328	6269449	1
NA	AL031847.1	6264899	6265840	1
NA	RNF207	6265534	6281359	1
NA	ICMT	6281252	6296032	1
NA	LINC00337	6296299	6299504	1
NA	HES3	6304251	6305638	1
NA	GPR153	6307405	6321035	1
NA	ACOT7	6324328	6454451	1
NA	AL031848.2	6453614	6454451	1
NA	HES2	6472477	6484730	1
NA	ESPN	6484847	6521430	1
NA	MIR4252	6489893	6489956	1
NA	AL031848.1	6503093	6507066	1
NA	TNFRSF25	6521210	6526255	1
NA	PLEKHG5	6526151	6580121	1
NA	NOL9	6581406	6614595	1
NA	RNU6-731P	6600913	6601024	1
NA	AL591866.1	6607964	6608679	1
NA	TAS1R1	6615240	6639817	1
NA	ZBTB48	6640060	6649340	1
NA	KLHL21	6650783	6674667	1
NA	PHF13	6673744	6684093	1
NA	THAP3	6684925	6695646	1
NA	DNAJC11	6694227	6761984	1
NA	LINC01672	6784696	6790072	1
NA	snoU13	6812778	6812881	1
NA	AL591163.1	6828013	6830098	1
NA	AL590128.2	6843951	6844903	1
NA	CAMTA1	6845383	7829766	1
NA	AL590128.1	6894392	6894678	1
NA	AL512330.1	7068435	7074339	1
NA	RNU1-8P	7279419	7279584	1
NA	CAMTA1-IT1	7429002	7430331	1
NA	Z97987.1	7442547	7449814	1
NA	AL365194.1	7501155	7501614	1
NA	AL359881.3	7753183	7754904	1
NA	AL359881.2	7758362	7758932	1
NA	AL359881.1	7760763	7761030	1
NA	VAMP3	7831328	7841492	1
NA	Z98884.2	7836442	7836835	1
NA	PER3	7844379	7905237	1
NA	Z98884.1	7870301	7887402	1
NA	UTS2	7903142	7913572	1
NA	TNFRSF9	7975953	8003225	1
NA	AL009183.1	8002431	8002786	1
NA	PARK7	8014350	8045565	1
NA	Y_RNA	8042940	8043043	1
NA	AL034417.4	8051193	8065372	1
NA	AL034417.3	8058246	8059994	1
NA	ERRFI1	8064463	8086368	1
NA	AL034417.2	8086797	8182762	1
NA	AL034417.1	8117304	8118523	1
NA	AL358876.1	8249883	8252830	1
NA	LINC01714	8262488	8275270	1
NA	RNU1-7P	8266493	8266657	1
NA	AL358876.2	8278249	8280589	1
NA	RN7SL729P	8335183	8335438	1
NA	RNU6-991P	8352216	8352323	1
NA	SLC45A1	8377885	8404227	1
NA	Y_RNA	8388126	8388239	1
NA	RERE	8412456	8877702	1
NA	AL096855.1	8484704	8494898	1
NA	SNORA77	8571853	8571978	1
NA	AL096855.2	8572711	8573080	1
NA	RPL7P11	8810488	8811146	1
NA	RPL7P7	8846269	8846972	1
NA	Y_RNA	8856632	8856731	1
NA	AL357552.1	8858533	8859565	1
NA	AL357552.2	8865918	8867110	1
NA	RPL23AP19	8891065	8891434	1
NA	ENO1	8921060	8939308	1
NA	ENO1-IT1	8935846	8938066	1
NA	ENO1-AS1	8938893	8939953	1
NA	RNU6-304P	8943485	8943592	1
NA	HMGN2P17	8953467	8954210	1
NA	AL139415.1	8967451	8967803	1
NA	AL139415.2	8969800	8969963	1
NA	CA6	9005925	9035151	1
NA	RN7SL451P	9039636	9039933	1
NA	SLC2A7	9063358	9086404	1
NA	SLC2A5	9095165	9148537	1
NA	SCARNA16	9142754	9142938	1
NA	GPR157	9160363	9189229	1
NA	MIR34AHG	9208069	9257042	1
NA	MIR34A	9211726	9211836	1
NA	LINC01759	9242062	9256343	1
NA	Z98044.1	9257201	9258965	1
NA	H6PD	9294833	9331396	1
NA	Z98044.1	9338449	9338592	1
NA	SPSB1	9352938	9429591	1
NA	BX323043.1	9481156	9482921	1
NA	AL928921.2	9485152	9500623	1
NA	RNA5SP40	9497727	9497837	1
NA	AL928921.1	9561150	9563530	1
NA	SLC25A33	9599540	9645237	1
NA	AL954705.1	9636484	9637043	1
NA	TMEM201	9648979	9674931	1
NA	PIK3CD	9711789	9789172	1
NA	PIK3CD-AS1	9712667	9714644	1
NA	AL691449.1	9720885	9722684	1
NA	PIK3CD-AS2	9732483	9747613	1
NA	CLSTN1	9789083	9884584	1
NA	MZT1P1	9840879	9841298	1
NA	AL357140.3	9886346	9888329	1
NA	CTNNBIP1	9908333	9970394	1
NA	AL357140.1	9908375	9910212	1
NA	LZIC	9982170	10003465	1
NA	AL357140.2	10002980	10010032	1
NA	NMNAT1	10003485	10045559	1
NA	RN7SKP269	10007375	10007694	1
NA	AL357140.4	10011288	10020890	1
NA	MIR5697	10027438	10027516	1
NA	AL603962.1	10043198	10044626	1
NA	RBP7	10057263	10076078	1
NA	AL590639.1	10078084	10078592	1
NA	UBE4B	10092889	10241297	1
NA	AL590639.1	10114502	10114839	1
NA	PGAM1P11	10118728	10119706	1
NA	RNU6-828P	10223325	10223432	1
NA	KIF1B	10270862	10441661	1
NA	MIR1273D	10287775	10287861	1
NA	RNU6-37P	10359023	10359130	1
NA	RN7SL731P	10366522	10366813	1
NA	AL139424.3	10441963	10447207	1
NA	RN7SL721P	10450058	10450353	1
NA	AL139424.2	10455472	10457489	1
NA	PGD	10458648	10480201	1
NA	AL139424.1	10489937	10490734	1
NA	CENPS-CORT	10490158	10512210	1
NA	CENPS	10490499	10502866	1
NA	CORT	10509775	10511959	1
NA	DFFA	10516578	10532583	1
NA	AL354956.1	10518611	10519395	1
NA	PEX14	10532344	10690815	1
NA	RN7SL614P	10676892	10677170	1
NA	CASZ1	10696660	10856707	1
NA	AL139423.1	10699297	10714390	1
NA	HSPE1P24	10955817	10956055	1
NA	C1orf127	11006527	11042094	1
NA	CFL1P6	11051034	11051854	1
NA	AL713997.1	11058232	11058320	1
NA	Y_RNA	11059918	11060002	1
NA	TARDBP	11072400	11086477	1
NA	AL109811.4	11072718	11090585	1
NA	MASP2	11086579	11107290	1
NA	AL109811.3	11089715	11090585	1
NA	SRM	11114640	11120081	1
NA	EXOSC10	11126674	11159938	1
NA	AL109811.1	11128527	11133154	1
NA	AL109811.2	11159731	11162157	1
NA	MTOR	11166591	11322564	1
NA	MTOR-AS1	11203954	11209594	1
NA	RNU6-537P	11212406	11212509	1
NA	snoU13	11229563	11229670	1
NA	ANGPTL7	11249397	11256038	1
NA	RNU6-291P	11286310	11286417	1
NA	RPL39P6	11293019	11293169	1
NA	UBIAD1	11333262	11356106	1
NA	UBE2V2P3	11338672	11339408	1
NA	AL031291.1	11371790	11379150	1
NA	MTCYBP45	11485313	11485878	1
NA	DISP3	11539222	11597641	1
NA	LINC01647	11669587	11673412	1
NA	AL031731.1	11683614	11703473	1
NA	FBXO2	11697074	11715842	1
NA	FBXO44	11714431	11723384	1
NA	FBXO6	11724180	11734411	1
NA	MAD2L2	11734536	11751707	1
NA	DRAXIN	11751785	11785914	1
NA	AGTRAP	11796140	11814859	1
NA	C1orf167	11821843	11849642	1
NA	AL953897.1	11837133	11839676	1
NA	MTHFR	11845779	11866977	1
NA	CLCN6	11866152	11903201	1
NA	NPPA-AS1	11901073	11908136	1
NA	NPPA	11905765	11908402	1
NA	NPPB	11917520	11918988	1
NA	AL021155.1	11937826	11940463	1
NA	RNU5E-1	11968208	11968328	1
NA	RNU5E-4P	11969864	11969984	1
NA	KIAA2013	11979647	11986485	1
NA	PLOD1	11994261	12035595	1
NA	MFN2	12040237	12073571	1
NA	AL096840.1	12077272	12077365	1
NA	MIIP	12079522	12092102	1
NA	Y_RNA	12084068	12084181	1
NA	RN7SL649P	12096798	12097071	1
NA	TNFRSF8	12123433	12204264	1
NA	RNU6-777P	12137937	12138041	1
NA	RPL23AP89	12140349	12140604	1
NA	TNFRSF1B	12227059	12269285	1
NA	MIR4632	12251769	12251830	1
NA	RPL10P17	12280850	12281166	1
NA	SNORA70	12281204	12281328	1
NA	VPS13D	12290123	12572099	1
NA	SNORA59A	12567299	12567451	1
NA	AC243836.1	12587765	12588462	1
NA	DHRS3	12627938	12677737	1
NA	RNU6ATAC18P	12629999	12630100	1
NA	AC254633.1	12678905	12679250	1
NA	AADACL4	12704565	12727097	1
NA	AC244670.1	12752924	12753036	1
NA	AADACL3	12776117	12788726	1
NA	snoU13	12799692	12799796	1
NA	C1orf158	12806162	12823847	1
NA	PRAMEF12	12834983	12838049	1
NA	PRAMEF1	12851545	12856777	1
NA	LINC01784	12882548	12883022	1
NA	PRAMEF11	12884467	12891264	1
NA	PRAMEF30P	12897977	12901210	1
NA	HNRNPCL1	12907260	12908578	1
NA	PRAMEF2	12916940	12921764	1
NA	PRAMEF4	12939044	12946025	1
NA	PRAMEF10	12952726	12958101	1
NA	PRAMEF7	12976429	12980302	1
NA	RNU6-1072P	12982373	12982480	1
NA	PRAMEF29P	12985989	12988081	1
NA	PRAMEF6	12998301	13007406	1
NA	RP11-450I1.4	13012965	13015755	1
NA	PRAMEF22	13035542	13038381	1
NA	WI2-3308P17.2	13052393	13052998	1
NA	PRAMEF23	13108841	13112679	1
NA	RP13-221M14.6	13123245	13126086	1
NA	PRAMEF25	13140455	13145000	1
NA	RP13-221M14.2	13146776	13147256	1
NA	RP13-221M14.3	13162644	13165443	1
NA	PRAMEF34P	13162649	13165443	1
NA	PRAMEF35P	13171870	13173157	1
NA	HNRNPCL2	13182967	13184326	1
NA	HNRNPCL4	13182990	13183872	1
NA	PRAMEF26	13216355	13219581	1
NA	PRAMEF3	13328195	13331692	1
NA	RP11-248D7.2	13351481	13354323	1
NA	PRAMEF5	13359818	13369057	1
NA	PRAMEF32P	13379148	13381237	1
NA	RNU6-771P	13384734	13384841	1
NA	PRAMEF8	13386645	13390765	1
NA	RP11-219C24.6	13411550	13414482	1
NA	PRAMEF9	13421175	13428191	1
NA	RP11-219C24.10	13429633	13430113	1
NA	PRAMEF13	13447555	13452656	1
NA	PRAMEF28P	13448049	13450861	1
NA	PRAMEF18	13474688	13477522	1
NA	PRAMEF16	13495253	13498260	1
NA	PRAMEF21	13516065	13526943	1
NA	XX-FW84067D5.1	13607430	13611550	1
NA	XX-FW84067D5.2	13632347	13635279	1
NA	PRAMEF15	13641972	13648988	1
NA	PRAMEF14	13668410	13673511	1
NA	PRAMEF19	13695524	13698151	1
NA	PRAMEF17	13716091	13719089	1
NA	PRAMEF20	13736906	13747803	1
NA	LRRC38	13801444	13840543	1
NA	AL354712.1	13839714	13842765	1
NA	BRWD1P1	13881495	13882189	1
NA	PDPN	13909959	13944452	1
NA	RNA5SP41	13949678	13949779	1
NA	AL359771.1	13950396	13950497	1
NA	AL359771.1	13983805	13986405	1
NA	SCARNA11	14022564	14022694	1
NA	PRDM2	14026692	14151574	1
NA	KAZN	14219286	15444539	1
NA	RNU6-1265P	14450727	14450830	1
NA	AL357873.1	14548385	14549613	1
NA	AL359873.1	14675449	14718071	1
NA	TBCAP2	15018624	15019109	1
NA	TMEM51-AS1	15438310	15478960	1
NA	TMEM51	15479027	15546976	1
NA	C1orf195	15490839	15497813	1
NA	AL035405.1	15518323	15519341	1
NA	AL391094.1	15552868	15554045	1
NA	FHAD1	15573767	15726779	1
NA	AL031283.2	15653175	15670372	1
NA	AL031283.3	15660661	15661960	1
NA	AL031283.1	15729474	15735929	1
NA	EFHD2	15736390	15756839	1
NA	CTRC	15764934	15775737	1
NA	CELA2A	15783222	15798586	1
NA	CELA2B	15792403	15817895	1
NA	CASP9	15817326	15853029	1
NA	DNAJC16	15853307	15918874	1
NA	SCARNA21	15868659	15868799	1
NA	AL121992.3	15892105	15892451	1
NA	AGMAT	15898847	15911605	1
NA	AL121992.1	15912630	15930121	1
NA	CHCHD2P6	15931091	15931538	1
NA	RNU7-179P	15934572	15934640	1
NA	CD24P1	15941137	15941362	1
NA	DDI2	15943994	15995539	1
NA	RSC1A1	15986363	15988217	1
NA	AL121992.2	16009367	16009623	1
NA	PLEKHM2	16010826	16061264	1
NA	AL121992.1	16010966	16011053	1
NA	AL450998.3	16046806	16063391	1
NA	SLC25A34	16062899	16067891	1
NA	AL450998.2	16066545	16076391	1
NA	TMEM82	16068916	16074477	1
NA	FBLIM1	16083101	16113089	1
NA	RPL12P14	16119290	16119780	1
NA	UQCRHL	16133663	16135843	1
NA	AL450998.1	16154726	16155164	1
NA	FLJ37453	16160968	16174642	1
NA	SPEN	16174358	16266955	1
NA	snoU13	16237391	16237492	1
NA	AL034555.1	16244192	16244403	1
NA	ZBTB17	16268363	16302627	1
NA	AL355994.4	16296126	16296689	1
NA	AL355994.1	16314676	16314936	1
NA	AL355994.5	16315634	16315870	1
NA	TBC1D3P6	16316365	16321246	1
NA	C1orf64	16330730	16335302	1
NA	AL355994.3	16332654	16333166	1
NA	HSPB7	16340522	16346089	1
NA	CLCNKA	16345369	16360545	1
NA	AL355994.2	16361672	16366524	1
NA	CLCNKB	16370230	16383803	1
NA	FAM131C	16384263	16400127	1
NA	EPHA2	16450831	16482582	1
NA	AL451042.2	16481705	16483824	1
NA	AL451042.1	16485760	16488378	1
NA	ARHGEF19-AS1	16524348	16524852	1
NA	ARHGEF19	16524348	16539104	1
NA	ANO7L1	16542403	16554522	1
NA	C1orf134	16555367	16556038	1
NA	RSG1	16558194	16563657	1
NA	MT1XP1	16567707	16567893	1
NA	FBXO42	16573333	16678949	1
NA	SZRD1	16679069	16724640	1
NA	AL358794.1	16695644	16696025	1
NA	SPATA21	16713611	16763919	1
NA	NECAP2	16767166	16786573	1
NA	LINC01772	16787442	16794976	1
NA	CROCCP3	16793930	16825752	1
NA	RNU1-1	16840616	16840780	1
NA	AL137802.2	16841139	16842249	1
NA	AL137802.1	16847188	16848291	1
NA	LINC01783	16860380	16862667	1
NA	AL355149.2	16865560	16866070	1
NA	AL355149.1	16875145	16879026	1
NA	AL355149.1	16875408	16875482	1
NA	NBPF1	16888813	16940057	1
NA	AL137798.1	16943885	16944224	1
NA	CROCCP2	16944747	16983727	1
NA	AL137798.3	16969261	16969604	1
NA	MST1P2	16972116	16976784	1
NA	AL137798.2	16983373	16994019	1
NA	RNU1-3	16993279	16993443	1
NA	AL137798.1	16999497	17000007	1
NA	AL021920.1	17007749	17007823	1
NA	EIF1AXP1	17012115	17012550	1
NA	ESPNP	17013833	17046652	1
NA	AL021920.1	17028040	17032089	1
NA	AL021920.2	17060446	17060956	1
NA	AL021920.3	17066432	17077084	1
NA	CROCC	17066767	17299474	1
NA	CROCCP4	17066774	17077463	1
NA	RNU1-4	17067010	17067174	1
NA	MST1L	17081404	17096732	1
NA	BX284668.1	17177751	17179624	1
NA	BX284668.3	17181901	17185779	1
NA	MIR3675	17185443	17185516	1
NA	BX284668.2	17197439	17200587	1
NA	BX284668.5	17215032	17216144	1
NA	BX284668.4	17215589	17216097	1
NA	RNU1-2	17222474	17222638	1
NA	BX284668.6	17230833	17231271	1
NA	MFAP2	17300996	17307330	1
NA	AL049569.1	17305420	17331586	1
NA	ATP13A2	17312452	17338423	1
NA	SDHB	17345216	17380665	1
NA	PADI2	17393255	17445930	1
NA	Y_RNA	17484691	17484779	1
NA	AL590644.1	17516277	17524112	1
NA	AL590644.3	17519726	17528228	1
NA	PADI1	17531620	17572500	1
NA	PADI3	17575592	17610728	1
NA	MIR3972	17604383	17604470	1
NA	PADI4	17634689	17690499	1
NA	AC004824.2	17655506	17676070	1
NA	PADI6	17698690	17728195	1
NA	AC004824.1	17733255	17733878	1
NA	RCC2	17733255	17766220	1
NA	AC004824.1	17740126	17740190	1
NA	snoU13	17776258	17776359	1
NA	ARHGEF10L	17866329	18024369	1
NA	AL136529.1	18044181	18076473	1
NA	ACTL8	18081807	18153558	1
NA	AL357509.1	18342205	18372106	1
NA	LINC01654	18392150	18400906	1
NA	IGSF21	18434239	18704977	1
NA	AL365209.1	18435882	18442355	1
NA	AL359738.1	18493422	18505840	1
NA	AL591896.1	18712322	18715008	1
NA	KLHDC7A	18807475	18812620	1
NA	DYNLL1P3	18839611	18839877	1
NA	AL031737.1	18921907	18922130	1
NA	PAX7	18957499	19075360	1
NA	TAS1R2	19166092	19186176	1
NA	AL080251.1	19175766	19247615	1
NA	ALDH4A1	19197923	19229275	1
NA	MIR4695	19209695	19209769	1
NA	MIR1290	19223564	19223642	1
NA	IFFO2	19230774	19283180	1
NA	AL137127.1	19398603	19402005	1
NA	UBR4	19400999	19536770	1
NA	AL137127.1	19410045	19410145	1
NA	AL035413.1	19536994	19567198	1
NA	EMC1	19542157	19578046	1
NA	MRTO4	19578032	19586622	1
NA	AKR7L	19592475	19600688	1
NA	AKR7A3	19609051	19615744	1
NA	AL035413.2	19623573	19624397	1
NA	AKR7A2	19630458	19638640	1
NA	RNU6-1099P	19631569	19631676	1
NA	PQLC2	19638819	19655794	1
NA	RN7SL85P	19646298	19646554	1
NA	CAPZB	19665269	19812033	1
NA	RN7SL277P	19750877	19751163	1
NA	RNU4-28P	19837086	19837227	1
NA	snoU13	19858663	19858768	1
NA	AL031727.2	19918295	19923326	1
NA	MINOS1	19923470	19956315	1
NA	MINOS1-NBL1	19923472	19984549	1
NA	AL031727.1	19934607	19935062	1
NA	NBL1	19967047	19984949	1
NA	HTR6	19991779	20006055	1
NA	TMCO4	20008705	20126438	1
NA	RNF186	20140521	20141771	1
NA	AL391883.1	20140859	20145995	1
NA	OTUD3	20209005	20239438	1
NA	PLA2G2E	20246501	20250110	1
NA	RN7SL304P	20297461	20297760	1
NA	PLA2G2A	20301923	20306909	1
NA	PLA2G5	20354671	20417683	1
NA	PLA2G2D	20438431	20446059	1
NA	PLA2G2F	20465818	20476879	1
NA	Z98257.1	20480830	20487061	1
NA	PLA2G2C	20487745	20503917	1
NA	UBXN10-AS1	20510734	20512979	1
NA	UBXN10	20512577	20522541	1
NA	LINC01757	20569587	20571148	1
NA	Z98257.2	20598510	20601498	1
NA	VWA5B1	20617411	20681387	1
NA	AL020998.1	20620703	20649680	1
NA	LINC01141	20687071	20757727	1
NA	AL139254.1	20738796	20739746	1
NA	AL139254.2	20802714	20805430	1
NA	AL139254.3	20805271	20806890	1
NA	CAMK2N1	20808883	20812713	1
NA	MUL1	20825940	20834654	1
NA	RPS4XP4	20852481	20853244	1
NA	FAM43B	20878931	20881503	1
NA	CDA	20915440	20945401	1
NA	PINK1	20959947	20978004	1
NA	PINK1-AS	20969149	20978686	1
NA	AL391357.1	20976855	20977207	1
NA	DDOST	20978259	20988037	1
NA	KIF17	20990506	21044510	1
NA	AL663074.2	21019226	21020506	1
NA	SH2D5	21046224	21059330	1
NA	AL663074.1	21059372	21060445	1
NA	HP1BP3	21069153	21113816	1
NA	RP5-930J4.4	21069479	21070455	1
NA	EIF4G3	21132784	21503381	1
NA	RNU7-200P	21167733	21167795	1
NA	MIR1256	21314806	21314925	1
NA	RPS15AP6	21330042	21330427	1
NA	AL627311.1	21400131	21400246	1
NA	HSPE1P27	21487967	21488574	1
NA	AL031005.1	21503058	21503122	1
NA	ECE1	21543739	21671997	1
NA	AL031005.1	21592574	21593744	1
NA	AL031728.1	21619782	21626267	1
NA	PPP1R11P1	21724479	21724855	1
NA	AL592309.1	21737952	21739786	1
NA	AL592309.2	21742390	21743985	1
NA	NBPF2P	21751117	21754460	1
NA	HS6ST1P1	21754795	21756029	1
NA	CROCCP5	21760810	21764051	1
NA	NBPF3	21766620	21811498	1
